instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_desc,weather_description
1,2011-01-01,1,0,1,0,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.81,0.0,3,13,16,Clear,"Clear, Few clouds, Partly cloudy"
2,2011-01-02,1,0,1,1,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.8,0.0,8,32,40,Clear,"Clear, Few clouds, Partly cloudy"
3,2011-01-03,1,0,1,2,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.8,0.0,5,27,32,Clear,"Clear, Few clouds, Partly cloudy"
4,2011-01-04,1,0,1,3,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.75,0.0,3,10,13,Clear,"Clear, Few clouds, Partly cloudy"
5,2011-01-05,1,0,1,4,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.75,0.0,0,1,1,Clear,"Clear, Few clouds, Partly cloudy"
6,2011-01-06,1,0,1,5,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.24,0.2576,0.75,0.0896,0,1,1,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
7,2011-01-07,1,0,1,6,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.8,0.0,2,0,2,Clear,"Clear, Few clouds, Partly cloudy"
8,2011-01-08,1,0,1,7,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.86,0.0,1,2,3,Clear,"Clear, Few clouds, Partly cloudy"
9,2011-01-09,1,0,1,8,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.75,0.0,1,7,8,Clear,"Clear, Few clouds, Partly cloudy"
10,2011-01-10,1,0,1,9,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.32,0.3485,0.76,0.0,8,6,14,Clear,"Clear, Few clouds, Partly cloudy"
11,2011-01-11,1,0,1,10,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.38,0.3939,0.76,0.2537,12,24,36,Clear,"Clear, Few clouds, Partly cloudy"
12,2011-01-12,1,0,1,11,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.36,0.3333,0.81,0.2836,26,30,56,Clear,"Clear, Few clouds, Partly cloudy"
13,2011-01-13,1,0,1,12,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.42,0.4242,0.77,0.2836,29,55,84,Clear,"Clear, Few clouds, Partly cloudy"
14,2011-01-14,1,0,1,13,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.72,0.2985,47,47,94,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
15,2011-01-15,1,0,1,14,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.72,0.2836,35,71,106,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
16,2011-01-16,1,0,1,15,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.77,0.2985,40,70,110,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
17,2011-01-17,1,0,1,16,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.42,0.4242,0.82,0.2985,41,52,93,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
18,2011-01-18,1,0,1,17,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.82,0.2836,15,52,67,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
19,2011-01-19,1,0,1,18,0,6,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.88,0.2537,9,26,35,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
